reference_number,vendor,customer_name,street_address,contact_phone,postcode_region,commissioning_date,connectivity,service_tier,last_service_visit,vendor_canonical,reference_status,reference_canonical,unit_id,reference_resolution,connectivity_conflict
02028,OEM A,Norbert Möllenkamp,Schulstraße 24,redacted,13,03.12.2024,connected,optimize,2026-02-08,A,digits_only,TH-02028,TH-02028,resolved,False
TH 02029,oem a,Jörg Bartels,Mühlenstraße 103,redacted,60,2025-09-15,not_connected,optimize,,A,format_variant,TH-02029,TH-02029,resolved,False
TH-02030,oem a,Holger Kortmann,Waldsaum 58b,redacted,60,2023-08-28,connected,free,2025-05-15,A,canonical,TH-02030,TH-02030,resolved,False
TH-02031,OEM A,Claudia Kortmann,Dorfstraße 81,redacted,12,2023-12-10,connected,optimize,2024-10-07,A,canonical,TH-02031,TH-02031,resolved,False
TH-02032,OEM_A,Dieter Grabowski,Hauptstraße 99,redacted,4,2025-04-24,connected,care_plus,2024-12-20,A,canonical,TH-02032,TH-02032,resolved,False
TH-02033,oem a,Petra Oberkamp,Buchenkamp 113,redacted,60,2024-07-27,connected,optimize,,A,canonical,TH-02033,TH-02033,resolved,False
TH-02034,oem a,Kerstin Jansen,Buchenkamp 129,redacted,12,2023-04-10,connected,care,2025-10-16,A,canonical,TH-02034,TH-02034,resolved,False
th-02035,oem a,Kerstin Zschiesche,Lindenhof 123a,redacted,13,2023-08-04,connected,care_plus,2025-01-13,A,canonical,TH-02035,TH-02035,resolved,False
TH-02036,A,Elke Jansen,Ostpreußenweg 75,redacted,44,31.01.2024,not_connected,optimize,2025-02-22,A,canonical,TH-02036,TH-02036,resolved,False
  TH-02037 ,OEM A,Ahmet Vollmer,Feldmark 73,redacted,50,24.03.2025,connected,free,,A,canonical,TH-02037,TH-02037,resolved,False
  TH-02038 ,A,Ahmet Zschiesche,Uferstraße 113,redacted,4,08.08.2024,connected,optimize,2024-08-22,A,canonical,TH-02038,TH-02038,resolved,False
TH-02039,A,Manuela Lindemann,Gartenstraße 89,redacted,22,2025-05-09,unknown,free,2025-07-03,A,canonical,TH-02039,TH-02039,resolved,False
TH-02040,oem a,Ahmet Möllenkamp,Kirchweg 50b,redacted,81,05.04.2024,connected,care_plus,2026-01-06,A,canonical,TH-02040,TH-02040,resolved,False
TH-02041-1,A,Ahmet Fährmann,Waldsaum 67b,redacted,30,2023-10-22,not_connected,care,2025-02-08,A,suffix_variant,,TH-02041,suffix_unresolved,False
TH-02042,OEM_A,Norbert Kaminski,Hauptstraße 105,redacted,60,29.04.2023,not_connected,free,,A,canonical,TH-02042,TH-02042,resolved,False
TH-02043,OEM_A,Ahmet Niehaus,Ahornweg 29a,redacted,40,2023-12-05,not_connected,optimize,,A,canonical,TH-02043,TH-02043,resolved,False
02044,OEM A,Thorsten Gebhardt,Ahornweg 134,redacted,22,13.09.2023,connected,free,2025-01-06,A,digits_only,TH-02044,TH-02044,resolved,False
  TH-02045 ,oem a,Ahmet Kaminski,Feldmark 131,redacted,13,2023-07-24,connected,free,2025-10-03,A,canonical,TH-02045,TH-02045,resolved,False
th-02046,oem a,Kerstin Gebhardt,Im Winkel 107,redacted,80,10.09.2024,connected,care,2025-01-19,A,canonical,TH-02046,TH-02046,resolved,False
TH-02047-1,A,Thorsten Sassenberg,Waldsaum 74,redacted,10,11.11.2024,connected,free,2025-06-03,A,suffix_variant,,TH-02047,telemetry_confirmed_suffix,False
th-02048,OEM A,Claudia Ahrens,Dorfstraße 79,redacted,22,01.11.2025,connected,care,2024-09-14,A,canonical,TH-02048,TH-02048,resolved,False
  TH-02049 ,OEM_A,Ulrike Bartels,Birkenallee 107,redacted,12,2023-05-19,connected,care_plus,2025-03-14,A,canonical,TH-02049,TH-02049,resolved,False
TH-02050-1,oem a,Lothar Thiemann,Waldsaum 148,redacted,22,2025-03-29,connected,optimize,2025-03-25,A,suffix_variant,,TH-02050,telemetry_confirmed_suffix,False
TH-02051,OEM A,Gudrun Oberkamp,Dorfstraße 102,redacted,22,2023-03-09,connected,optimize,2024-08-26,A,canonical,TH-02051,TH-02051,resolved,False
TH 02052,A,Eva Fährmann,Im Winkel 118,redacted,12,06.05.2023,connected,free,2025-01-27,A,format_variant,TH-02052,TH-02052,resolved,False
TH-02053,A,Elke Ebeling,Pappelweg 100,redacted,90,22.10.2023,connected,free,2024-07-12,A,canonical,TH-02053,TH-02053,resolved,False
TH-02054,OEM A,Thorsten Grabowski,Feldmark 93,redacted,70,2023-04-28,not_connected,optimize,2025-07-13,A,canonical,TH-02054,TH-02054,resolved,False
  TH-02055 ,OEM A,Gudrun Jansen,Pappelweg 147b,redacted,90,2025-03-30,connected,care,,A,canonical,TH-02055,TH-02055,resolved,False
TH-02056,OEM_A,Manuela Fährmann,Quellenstraße 147b,redacted,81,23.12.2024,connected,care,,A,canonical,TH-02056,TH-02056,resolved,False
TH-02057,A,Jörg Radtke,Feldmark 20a,redacted,80,2024-12-27,not_connected,optimize,2024-09-24,A,canonical,TH-02057,TH-02057,resolved,False
TH-02058,OEM A,Holger Pfefferle,Rosenkamp 4,redacted,40,2025-05-05,not_connected,free,2024-11-15,A,canonical,TH-02058,TH-02058,resolved,False
  TH-02059 ,OEM_A,Katrin Radtke,Buchenkamp 86b,redacted,70,2025-10-15,unknown,optimize,2024-09-29,A,canonical,TH-02059,TH-02059,resolved,False
  TH-02060 ,OEM_A,Claudia Ahrens,Tannenweg 137,redacted,80,17.10.2025,unknown,free,,A,canonical,TH-02060,TH-02060,resolved,True
  TH-02061 ,OEM A,Wiebke Ahrens,Tannenweg 82,redacted,12,17.07.2023,connected,free,2025-01-19,A,canonical,TH-02061,TH-02061,resolved,False
th-02062,OEM A,Ingrid Fährmann,Erlenring 13,redacted,12,2025-11-28,connected,optimize,2024-10-07,A,canonical,TH-02062,TH-02062,resolved,False
TH-02063,oem a,Bettina Bartels,Lindenhof 131,redacted,50,06.04.2024,connected,free,,A,canonical,TH-02063,TH-02063,resolved,False
TH-02064,OEM A,Thorsten Oberkamp,Kirchweg 41,redacted,80,2025-09-01,not_connected,free,2024-10-03,A,canonical,TH-02064,TH-02064,resolved,False
TH-02065,oem a,Bettina Grabowski,Ostpreußenweg 59,redacted,90,02.05.2024,connected,free,2026-02-04,A,canonical,TH-02065,TH-02065,resolved,False
TH-02066,A,Dagmar Radtke,Feldmark 70,redacted,50,2023-10-27,not_connected,care_plus,2025-09-12,A,canonical,TH-02066,TH-02066,resolved,False
TH-02067,oem a,Ahmet Möllenkamp,Buchenkamp 144,redacted,12,03.02.2026,not_connected,optimize,2024-09-27,A,canonical,TH-02067,TH-02067,resolved,False
TH-02068,OEM A,Dieter Thiemann,Feldmark 91b,redacted,10,2025-03-28,connected,free,,A,canonical,TH-02068,TH-02068,resolved,False
th-02069,OEM_A,Gerhard Thiemann,Buchenkamp 30b,redacted,80,2024-12-09,unknown,care,,A,canonical,TH-02069,TH-02069,resolved,False
TH 02070,OEM A,Elke Ebeling,Erlenring 140,redacted,80,2024-09-26,unknown,care,2024-09-19,A,format_variant,TH-02070,TH-02070,resolved,False
TH-02071,oem a,Bettina Oberkamp,Rosenkamp 98,redacted,22,23.11.2024,connected,optimize,,A,canonical,TH-02071,TH-02071,resolved,False
TH-02072,A,Lothar Grabowski,Hauptstraße 42,redacted,90,2023-03-20,connected,free,2025-07-12,A,canonical,TH-02072,TH-02072,resolved,False
TH-02073,OEM A,Dieter Bartels,Lindenhof 112,redacted,44,15.11.2024,connected,optimize,,A,canonical,TH-02073,TH-02073,resolved,False
TH-02074,OEM A,Jens Fährmann,Dorfstraße 38,redacted,13,09.04.2025,connected,care,2025-10-19,A,canonical,TH-02074,TH-02074,resolved,False
TH-02075,oem a,Wiebke Sassenberg,Ahornweg 60,redacted,22,12.03.2025,connected,optimize,,A,canonical,TH-02075,TH-02075,resolved,False
TH-02076,oem a,Kerstin Zschiesche,Dorfstraße 61a,redacted,30,2024-06-11,connected,free,2025-12-23,A,canonical,TH-02076,TH-02076,resolved,False
TH-02077,OEM_A,Petra Kaminski,Uferstraße 21,redacted,70,09.04.2024,connected,free,2025-01-15,A,canonical,TH-02077,TH-02077,resolved,False
TH-02078,A,Jörg Fährmann,Pappelweg 96,redacted,10,2024-01-30,connected,optimize,,A,canonical,TH-02078,TH-02078,resolved,False
TH-02079,oem a,Katrin Uhlig,Birkenallee 102,redacted,40,2024-02-20,not_connected,free,2025-02-01,A,canonical,TH-02079,TH-02079,resolved,False
02080,OEM A,Jens Fährmann,Erlenring 3,redacted,80,04.01.2024,connected,care,,A,digits_only,TH-02080,TH-02080,resolved,False
TH 02081,OEM_A,Eva Thiemann,Kirchweg 75,redacted,60,2024-11-25,connected,optimize,2025-10-17,A,format_variant,TH-02081,TH-02081,resolved,False
TH-02082,oem a,Rainer Oestreich,Buchenkamp 11,redacted,80,2023-01-08,not_connected,free,,A,canonical,TH-02082,TH-02082,resolved,False
TH 02083,A,Frank Vollmer,Lindenhof 86b,redacted,12,2025-12-08,connected,free,2025-05-07,A,format_variant,TH-02083,TH-02083,resolved,False
  TH-02084 ,A,Katrin Bartels,Nordring 70a,redacted,10,2026-02-16,connected,care,2025-11-28,A,canonical,TH-02084,TH-02084,resolved,False
TH-02085-1,oem a,Holger Thiemann,Erlenring 5,redacted,40,24.09.2025,connected,optimize,,A,suffix_variant,,TH-02085,duplicate_of_base,False
TH-02086,oem a,Claudia Niehaus,Ostpreußenweg 132b,redacted,90,26.09.2024,connected,optimize,2025-08-18,A,canonical,TH-02086,TH-02086,resolved,False
TH-02087,OEM A,Jörg Oberkamp,Hauptstraße 45a,redacted,12,2024-08-07,connected,free,,A,canonical,TH-02087,TH-02087,resolved,False
TH-02088,OEM A,Norbert Bartels,Gartenstraße 62b,redacted,90,2025-01-11,not_connected,care_plus,2025-11-26,A,canonical,TH-02088,TH-02088,resolved,False
TH-02089,OEM A,Ingrid Fährmann,Tannenweg 25,redacted,22,2024-10-13,not_connected,care,2024-12-10,A,canonical,TH-02089,TH-02089,resolved,False
TH-02090,oem a,Andreas Uhlig,Ahornweg 52,redacted,40,23.09.2023,connected,free,2025-10-15,A,canonical,TH-02090,TH-02090,resolved,False
TH-02091,OEM_A,Jörg Fährmann,Waldsaum 77,redacted,40,2023-09-07,connected,free,2025-03-16,A,canonical,TH-02091,TH-02091,resolved,False
th-02092,OEM_A,Jörg Jansen,Feldmark 111,redacted,30,2023-12-09,unknown,care,,A,canonical,TH-02092,TH-02092,resolved,False
TH-02093,OEM A,Andreas Weinhold,Birkenallee 129,redacted,12,28.10.2023,connected,optimize,2026-04-05,A,canonical,TH-02093,TH-02093,resolved,False
TH-02094,OEM A,Kerstin Pfefferle,Buchenkamp 43a,redacted,12,24.11.2024,connected,care,2025-08-28,A,canonical,TH-02094,TH-02094,resolved,False
TH-02095-1,OEM A,Holger Lindemann,Ostpreußenweg 34,redacted,81,2024-08-11,connected,care_plus,2025-07-02,A,suffix_variant,,TH-02095,telemetry_confirmed_suffix,False
TH-02096,A,Kerstin Vollmer,Buchenkamp 95a,redacted,81,2023-01-04,not_connected,free,2025-12-01,A,canonical,TH-02096,TH-02096,resolved,False
TH-02097,OEM A,Frank Hillebrand,Tannenweg 125,redacted,12,2023-09-19,connected,free,2025-10-20,A,canonical,TH-02097,TH-02097,resolved,False
TH-02098,OEM_A,Bogdan Dettmer,Ostpreußenweg 52,redacted,13,2025-04-26,connected,care,2024-12-31,A,canonical,TH-02098,TH-02098,resolved,False
TH-02099,OEM_A,Elke Radtke,Hauptstraße 45b,redacted,10,2026-01-18,connected,optimize,2026-01-27,A,canonical,TH-02099,TH-02099,resolved,False
TH-02100,oem a,Ingrid Fährmann,Waldsaum 133b,redacted,22,2024-04-28,connected,free,,A,canonical,TH-02100,TH-02100,resolved,False
th-02101,OEM A,Eva Sassenberg,Schulstraße 20,redacted,13,2024-09-08,connected,care,2024-12-27,A,canonical,TH-02101,TH-02101,resolved,False
  TH-02102 ,A,Holger Sassenberg,Hauptstraße 108,redacted,70,05.06.2024,not_connected,care,2024-12-18,A,canonical,TH-02102,TH-02102,resolved,False
th-02103,OEM A,Sabine Thiemann,Buchenkamp 62,redacted,40,15.04.2025,connected,care,2025-06-21,A,canonical,TH-02103,TH-02103,resolved,False
TH-02104,oem a,Katrin Oberkamp,Tannenweg 86,redacted,22,2024-06-13,not_connected,care,2026-03-05,A,canonical,TH-02104,TH-02104,resolved,False
TH-02105,A,Gudrun Dettmer,Waldsaum 8,redacted,60,25.05.2024,not_connected,free,2025-04-05,A,canonical,TH-02105,TH-02105,resolved,False
  TH-02106 ,OEM_A,Norbert Bartels,Lindenhof 49,redacted,30,2023-05-20,not_connected,care_plus,,A,canonical,TH-02106,TH-02106,resolved,False
TH-02107,A,Ahmet Kortmann,Feldmark 69b,redacted,12,03.10.2024,not_connected,care,2025-08-03,A,canonical,TH-02107,TH-02107,resolved,False
TH-02108-1,OEM A,Ingrid Ahrens,Tannenweg 136,redacted,80,2023-03-01,not_connected,optimize,2025-11-25,A,suffix_variant,,TH-02108,suffix_unresolved,False
th-02109,OEM A,Gudrun Kaminski,Mühlenstraße 30,redacted,60,28.04.2025,connected,free,2025-09-16,A,canonical,TH-02109,TH-02109,resolved,False
TH-02110,oem a,Lothar Niehaus,Erlenring 79a,redacted,80,2025-07-19,not_connected,care,2026-04-22,A,canonical,TH-02110,TH-02110,resolved,False
th-02111,oem a,Ingrid Gebhardt,Pappelweg 15,redacted,90,28.09.2024,connected,care,,A,canonical,TH-02111,TH-02111,resolved,False
  TH-02112 ,oem a,Lothar Hillebrand,Erlenring 21,redacted,40,2023-05-10,connected,free,2024-12-07,A,canonical,TH-02112,TH-02112,resolved,False
TH-02113,OEM A,Andreas Möllenkamp,Lindenhof 97,redacted,22,2024-11-22,connected,optimize,2025-11-29,A,canonical,TH-02113,TH-02113,resolved,False
TH 02114,OEM_A,Thorsten Ebeling,Buchenkamp 6,redacted,60,13.07.2023,connected,free,2025-08-09,A,format_variant,TH-02114,TH-02114,resolved,False
  TH-02115 ,OEM A,Frank Gebhardt,Hauptstraße 88a,redacted,12,2024-06-08,not_connected,free,2025-07-22,A,canonical,TH-02115,TH-02115,resolved,False
TH-02116-1,oem a,Ingrid Oberkamp,Buchenkamp 1,redacted,20,2024-09-05,not_connected,free,2025-05-23,A,suffix_variant,,TH-02116,suffix_unresolved,False
TH-02117-1,oem a,Dagmar Zschiesche,Ostpreußenweg 21b,redacted,50,28.12.2023,not_connected,free,,A,suffix_variant,,TH-02117,suffix_unresolved,False
TH-02118,A,Heike Kaminski,Mühlenstraße 128,redacted,4,2024-06-08,connected,free,,A,canonical,TH-02118,TH-02118,resolved,False
TH-02119,OEM A,Thorsten Niehaus,Schulstraße 68,redacted,13,07.04.2025,not_connected,optimize,,A,canonical,TH-02119,TH-02119,resolved,True
  TH-02120 ,A,Bogdan Möllenkamp,Dorfstraße 70a,redacted,50,2026-02-09,connected,care,,A,canonical,TH-02120,TH-02120,resolved,False
TH-02121,oem a,Holger Brinkmann,Birkenallee 57,redacted,44,2025-06-17,connected,free,2026-05-09,A,canonical,TH-02121,TH-02121,resolved,False
th-02122,oem a,Katrin Vollmer,Dorfstraße 70,redacted,50,28.06.2024,connected,optimize,,A,canonical,TH-02122,TH-02122,resolved,False
TH-02123,A,Volker Vollmer,Hauptstraße 55,redacted,30,2023-09-05,unknown,care,2026-02-12,A,canonical,TH-02123,TH-02123,resolved,False
TH-02124,OEM A,Ahmet Pfefferle,Rosenkamp 5a,redacted,4,22.06.2025,connected,optimize,2025-11-15,A,canonical,TH-02124,TH-02124,resolved,False
TH-02125,OEM A,Claudia Jansen,Buchenkamp 99,redacted,13,03.06.2025,connected,care,,A,canonical,TH-02125,TH-02125,resolved,False
02126,OEM A,Claudia Ahrens,Kirchweg 127b,redacted,4,03.06.2023,connected,free,2024-08-10,A,digits_only,TH-02126,TH-02126,resolved,False
th-02127,OEM_A,Petra Oestreich,Lindenhof 131,redacted,13,2024-05-09,connected,free,,A,canonical,TH-02127,TH-02127,resolved,False
TH-02128,OEM A,Volker Grabowski,Schulstraße 28,redacted,70,16.04.2023,not_connected,care_plus,2025-10-25,A,canonical,TH-02128,TH-02128,resolved,False
  TH-02129 ,OEM A,Manuela Oberkamp,Gartenstraße 18a,redacted,22,23.02.2026,connected,free,2025-10-31,A,canonical,TH-02129,TH-02129,resolved,False
TH-02130,OEM_A,Kerstin Jansen,Pappelweg 126,redacted,13,2024-12-01,connected,free,2024-09-07,A,canonical,TH-02130,TH-02130,resolved,False
TH-02131-1,oem a,Volker Brinkmann,Ahornweg 13a,redacted,30,2025-09-10,not_connected,care_plus,2025-05-04,A,suffix_variant,,TH-02131,suffix_unresolved,False
TH 02132,OEM A,Christoph Weinhold,Erlenring 105,redacted,12,2024-08-26,connected,optimize,,A,format_variant,TH-02132,TH-02132,resolved,False
TH-02133,A,Norbert Zschiesche,Tannenweg 5,redacted,12,19.05.2025,connected,free,2024-11-27,A,canonical,TH-02133,TH-02133,resolved,False
TH-02134,OEM A,Dagmar Lindemann,Gartenstraße 53b,redacted,12,25.01.2025,connected,free,2025-08-09,A,canonical,TH-02134,TH-02134,resolved,False
02135,OEM_A,Wiebke Dettmer,Ahornweg 111,redacted,81,04.06.2025,connected,care,2025-09-29,A,digits_only,TH-02135,TH-02135,resolved,False
TH 02136,A,Frank Ebeling,Kirchweg 46b,redacted,44,30.01.2025,connected,free,,A,format_variant,TH-02136,TH-02136,resolved,False
TH 02137,A,Norbert Dettmer,Kirchweg 48,redacted,13,28.05.2023,connected,care_plus,2026-04-26,A,format_variant,TH-02137,TH-02137,resolved,False
TH-02138,oem a,Manuela Weinhold,Dorfstraße 20,redacted,44,02.11.2024,connected,free,,A,canonical,TH-02138,TH-02138,resolved,False
th-02139,A,Sabine Kortmann,Im Winkel 41,redacted,10,2024-05-18,connected,optimize,2026-04-09,A,canonical,TH-02139,TH-02139,resolved,False
TH-02140,OEM_A,Claudia Dettmer,Birkenallee 18,redacted,30,2023-05-19,connected,free,2026-03-23,A,canonical,TH-02140,TH-02140,resolved,False
TH-02141,oem-b,Rainer Niehaus,Erlenring 75a,redacted,10,04.08.2024,connected,free,2025-01-14,B,canonical,TH-02141,TH-02141,resolved,False
th-02142,OEM_B,Rainer Gebhardt,Rosenkamp 79,redacted,4,26.09.2023,not_connected,care,2025-12-03,B,canonical,TH-02142,TH-02142,resolved,False
TH-02143,OEM_B,Ingrid Sassenberg,Im Winkel 48,redacted,90,2025-04-25,connected,free,,B,canonical,TH-02143,TH-02143,resolved,False
TH-02144,OEM B,Jens Ebeling,Gartenstraße 85a,redacted,13,2023-07-10,connected,optimize,2025-12-31,B,canonical,TH-02144,TH-02144,resolved,False
02145,B,Elke Sassenberg,Hauptstraße 91a,redacted,40,2024-02-01,connected,free,2025-02-28,B,digits_only,TH-02145,TH-02145,resolved,False
TH-02146-1,OEM_B,Sabine Brinkmann,Hauptstraße 143,redacted,20,2024-09-29,connected,care_plus,2025-06-04,B,suffix_variant,,TH-02146,telemetry_confirmed_suffix,False
TH-02147,OEM_B,Eva Ebeling,Tannenweg 1,redacted,22,2023-10-12,not_connected,free,,B,canonical,TH-02147,TH-02147,resolved,False
TH-02148,OEM B,Claudia Kaminski,Nordring 22,redacted,20,2025-10-19,connected,optimize,,B,canonical,TH-02148,TH-02148,resolved,False
TH-02149-1,OEM_B,Norbert Brinkmann,Ostpreußenweg 118,redacted,12,14.11.2024,connected,optimize,2025-12-06,B,suffix_variant,,TH-02149,telemetry_confirmed_suffix,False
TH-02150,OEM_B,Christoph Ahrens,Gartenstraße 23,redacted,4,17.02.2024,unknown,free,2026-01-06,B,canonical,TH-02150,TH-02150,resolved,False
TH 02151,OEM B,Jens Gebhardt,Dorfstraße 38b,redacted,4,2023-07-06,not_connected,free,2025-12-15,B,format_variant,TH-02151,TH-02151,resolved,False
  TH-02152 ,OEM_B,Ingrid Grabowski,Kirchweg 45a,redacted,30,12.01.2023,connected,free,2025-12-30,B,canonical,TH-02152,TH-02152,resolved,False
TH-02153,OEM_B,Ahmet Weinhold,Gartenstraße 23a,redacted,4,01.11.2023,connected,care_plus,2025-04-23,B,canonical,TH-02153,TH-02153,resolved,False
TH-02154,OEM B,Dagmar Lindemann,Ahornweg 56,redacted,4,2026-01-24,not_connected,free,,B,canonical,TH-02154,TH-02154,resolved,False
TH-02155,OEM B,Manuela Lindemann,Rosenkamp 11,redacted,44,2023-07-31,connected,optimize,,B,canonical,TH-02155,TH-02155,resolved,False
TH-02156,B,Wiebke Jansen,Quellenstraße 139a,redacted,40,23.11.2024,not_connected,care_plus,2026-03-21,B,canonical,TH-02156,TH-02156,resolved,False
  TH-02157 ,B,Lothar Gebhardt,Mühlenstraße 34,redacted,44,2025-01-25,not_connected,care_plus,2026-04-09,B,canonical,TH-02157,TH-02157,resolved,False
02158,OEM B,Bogdan Lindemann,Schulstraße 60,redacted,13,22.12.2024,connected,optimize,2026-01-30,B,digits_only,TH-02158,TH-02158,resolved,False
TH-02159,OEM B,Eva Weinhold,Rosenkamp 109b,redacted,10,2025-01-10,connected,care_plus,2025-08-15,B,canonical,TH-02159,TH-02159,resolved,False
TH-02160,B,Rainer Fährmann,Uferstraße 89a,redacted,90,19.02.2025,connected,optimize,2025-02-26,B,canonical,TH-02160,TH-02160,resolved,False
TH-02161,OEM_B,Frank Kaminski,Rosenkamp 137,redacted,50,25.02.2023,connected,care,,B,canonical,TH-02161,TH-02161,resolved,False
02162,OEM_B,Andreas Ahrens,Uferstraße 89,redacted,20,22.02.2026,connected,optimize,2024-11-30,B,digits_only,TH-02162,TH-02162,resolved,False
TH-02163,B,Elke Oestreich,Birkenallee 18a,redacted,12,2025-05-08,not_connected,care,2025-01-06,B,canonical,TH-02163,TH-02163,resolved,False
TH-02164,OEM_B,Katrin Zschiesche,Schulstraße 75,redacted,30,2025-01-21,not_connected,free,2025-08-13,B,canonical,TH-02164,TH-02164,resolved,False
TH-02165-1,oem-b,Frank Thiemann,Lindenhof 26b,redacted,50,2025-10-23,connected,free,2024-08-17,B,suffix_variant,,TH-02165,telemetry_confirmed_suffix,False
TH 02166,B,Thorsten Kortmann,Birkenallee 88,redacted,80,16.10.2024,connected,care_plus,2026-03-23,B,format_variant,TH-02166,TH-02166,resolved,False
TH-02167,OEM B,Gudrun Weinhold,Feldmark 11,redacted,10,19.08.2024,not_connected,optimize,,B,canonical,TH-02167,TH-02167,resolved,False
TH-02168,oem-b,Wiebke Brinkmann,Quellenstraße 101,redacted,4,29.04.2025,connected,free,2025-07-07,B,canonical,TH-02168,TH-02168,resolved,False
TH-02169,B,Heike Thiemann,Schulstraße 98,redacted,81,04.06.2024,connected,free,2025-09-23,B,canonical,TH-02169,TH-02169,resolved,False
th-02170,oem-b,Ulrike Weinhold,Nordring 67,redacted,13,2023-08-16,connected,optimize,,B,canonical,TH-02170,TH-02170,resolved,False
TH-02171,OEM_B,Kerstin Gebhardt,Mühlenstraße 35,redacted,50,2025-07-31,connected,free,2024-09-07,B,canonical,TH-02171,TH-02171,resolved,False
TH-02172-1,OEM B,Ingrid Zschiesche,Dorfstraße 2,redacted,70,11.02.2023,not_connected,care_plus,2025-02-08,B,suffix_variant,,TH-02172,suffix_unresolved,False
